Room Temperature,Ambient Temperature,AC,Heating,Ventilation
10,20,23,2,1
29,20,21,0,1
39,24,19,1,0
36,20,17,1,0
37,20,16,1,0
16,24,17,3,1
12,21,19,4,1
27,18,17,2,1
11,20,19,4,1
21,19,18,3,3
39,19,16,1,0
17,24,17,3,2
39,20,16,1,0
38,23,16,1,0
18,24,17,3,2
10,21,19,4,1
14,24,21,4,1
32,18,19,1,0
30,18,17,1,0
12,19,18,3,2
21,23,19,4,3
36,24,17,1,0
18,20,18,2,3
10,22,20,4,0
26,19,19,2,2
11,18,20,4,2
24,23,19,3,3
18,24,20,4,2
36,23,18,1,0
21,22,19,2,3
39,23,17,1,0
12,19,18,3,2
15,23,19,4,1
31,23,18,2,1
10,24,20,4,0
28,21,19,2,2
37,21,17,1,0
34,23,16,1,1
30,21,16,1,1
11,21,18,3,1
28,19,16,1,1
37,23,16,1,0
11,18,17,3,2
20,22,18,4,3
30,23,17,2,2
17,18,18,3,3
30,19,16,0,1
23,24,17,1,3
15,24,19,3,1
28,18,17,1,1
37,19,16,1,0
24,18,16,1,2
35,18,16,1,0
13,21,17,3,1
37,18,16,1,0
20,23,17,2,3
35,20,16,1,0
14,21,17,3,2
13,19,18,4,2
38,18,16,0,0
13,19,17,2,2
19,18,16,1,3
15,24,18,3,1
35,23,16,0,0
21,18,16,1,3
36,20,16,1,0
28,22,16,1,2
12,19,17,3,2
28,21,16,1,2
28,19,16,1,1
20,18,16,0,3
39,21,16,1,0
25,22,16,0,3
10,20,18,2,1
27,22,17,1,2
13,20,18,3,2
34,18,16,1,0
20,18,16,0,3
27,20,16,1,2
35,18,16,1,0
25,20,16,0,2
29,24,16,1,2
23,22,16,0,3
27,21,16,1,2
39,18,16,1,0
24,20,16,0,3
26,18,16,1,1
23,24,17,2,3
16,24,18,4,1
28,24,17,3,3
31,24,16,1,2
30,21,16,1,1
34,22,16,1,0
18,19,17,2,3
17,22,18,3,2
24,19,17,2,2
19,19,17,2,2
32,20,16,1,0
30,19,16,1,1
26,19,16,1,2
29,19,16,1,1
13,20,17,3,2
10,21,19,4,1
14,23,21,4,1
10,23,23,4,0
22,20,22,3,3
30,23,21,1,2
15,22,22,3,2
14,19,23,4,2
30,21,21,2,1
25,22,20,1,3
13,19,21,3,2
25,24,20,2,3
27,24,19,1,3
38,21,16,1,0
10,21,18,4,1
10,22,20,4,0
17,22,21,4,2
24,24,21,4,2
36,19,18,0,0
34,21,16,1,0
39,18,16,1,0
25,19,16,1,2
36,23,16,1,0
11,19,17,3,1
33,23,16,1,1
20,19,16,0,3
25,22,16,1,3
36,21,16,1,0
28,22,16,1,2
10,22,18,4,0
32,22,16,2,1
23,24,17,3,3
31,19,16,0,0
14,24,18,2,1
29,19,16,0,1
21,22,17,1,3
23,21,16,0,3
35,21,16,1,0
35,20,16,1,0
25,21,16,0,3
18,23,17,1,2
12,19,18,3,2
22,22,18,3,2
37,23,16,0,0
16,24,17,2,1
32,23,16,0,1
11,19,17,2,1
19,21,18,3,3
13,21,19,4,1
12,23,21,4,1
14,23,23,4,1
11,21,25,4,1
33,19,23,1,0
25,21,22,0,3
33,21,20,1,0
36,22,18,1,0
18,24,19,3,2
35,22,17,0,0
12,22,19,2,1
11,22,21,4,1
14,21,22,4,2
29,20,20,2,1
37,19,17,1,0
27,22,16,0,2
26,24,16,1,3
23,23,16,1,3
22,21,16,0,3
19,19,16,0,3
25,19,16,1,2
34,18,16,1,0
36,19,16,1,0
26,24,16,0,3
33,24,16,1,1
38,22,16,1,0
20,24,17,2,3
23,20,16,1,3
27,19,16,1,1
29,19,16,1,1
15,23,17,3,1
25,18,16,1,2
11,19,17,3,1
31,23,16,1,1
27,18,16,1,1
33,21,16,1,0
34,24,16,1,1
37,21,16,1,0
36,22,16,1,0
35,24,16,1,1
37,23,16,1,0
15,21,17,3,2
39,24,16,0,0
29,18,16,1,1
14,18,17,2,3
32,21,16,1,1
20,20,16,1,1
28,22,16,1,2
31,24,16,1,2
19,18,16,0,3
12,18,17,2,2
26,24,16,1,3
14,21,17,3,2
10,21,19,4,1
11,20,21,4,1
25,23,20,3,3
33,22,18,0,1
32,23,16,1,1
35,20,16,1,0
33,22,16,1,1
33,24,16,1,1
13,24,18,4,1
33,23,16,2,1
10,23,18,4,0
31,20,16,1,1
30,21,16,1,1
39,22,16,1,0
34,21,16,1,0
14,24,18,3,1
36,22,16,0,0
